hXX,simID,pop,subset_value,prop_ROH_single,prpp_Non_ROH_single,prop_ROH_homo,prop_Non_ROH_homo,mean_count_single,mean_count_homo
h00,1159482635262466889,p1,1.0,0.09126635489643972,0.9087336451035604,0.16769299372990504,0.832307006270095,101.174,44.944
h00,1159482635262466889,p2,1.0,0.18089886051373885,0.8191011394862612,0.2925327183187144,0.7074672816812856,94.328,52.392
h00,1159482635262466889,p3,1.0,0.2071281398488058,0.7928718601511943,0.32135999471503307,0.6786400052849668,91.02,53.22
h00,1187492628487565367,p1,0.3,0.09674243975402433,0.9032575602459757,0.1835187168095063,0.8164812831904937,28.102,12.16
h00,1187492628487565367,p2,0.3,0.21579948821347494,0.7842005117865252,0.34539263986787205,0.654607360132128,25.706,14.656
h00,1187492628487565367,p3,0.3,0.20338651263269322,0.7966134873673067,0.31125712130147115,0.6887428786985288,25.578,14.998
h00,1187492628487565367,p1,1.0,0.10285331768512875,0.8971466823148713,0.16546451566250026,0.8345354843374997,108.702,57.436
h00,1187492628487565367,p2,1.0,0.18727106325324339,0.8127289367467566,0.2774805861741105,0.7225194138258896,98.034,61.286
h00,1187492628487565367,p3,1.0,0.20413304917083952,0.7958669508291605,0.3003935504125558,0.6996064495874441,97.48,61.696
h00,1188344642156280027,p1,0.3,0.09595688124294705,0.904043118757053,0.20807033522033522,0.7919296647796648,25.816,8.796
h00,1188344642156280027,p2,0.3,0.1768339269350018,0.8231660730649981,0.3429713869463869,0.657028613053613,23.862,10.6
h00,1188344642156280027,p3,0.3,0.1797584028438527,0.8202415971561472,0.3296931232166526,0.6703068767833473,24.068,11.298
h00,1188344642156280027,p1,1.0,0.09728989682380432,0.9027101031761956,0.16098798018358657,0.8390120198164134,105.278,51.604
h00,1188344642156280027,p2,1.0,0.19413041526633762,0.8058695847336623,0.3027227678518127,0.6972772321481873,101.48,59.528
h00,1188344642156280027,p3,1.0,0.21693275712877078,0.7830672428712292,0.3240483535550378,0.6759516464449623,97.352,59.562
h00,1194843192800477130,p1,0.3,0.07744819081909415,0.9225518091809058,0.15107444584998764,0.8489255541500125,30.39,12.39
h00,1194843192800477130,p2,0.3,0.16517090098017706,0.8348290990198229,0.2787357554897802,0.7212642445102196,27.916,14.536
h00,1194843192800477130,p3,0.3,0.1998415492726047,0.8001584507273953,0.3151952119088342,0.6848047880911659,29.184,16.552
h00,1194843192800477130,p1,1.0,0.08995653521470141,0.9100434647852986,0.14772503266978532,0.8522749673302146,104.58,51.568
h00,1194843192800477130,p2,1.0,0.187980633487221,0.8120193665127791,0.2904234536771155,0.7095765463228845,99.428,58.856
h00,1194843192800477130,p3,1.0,0.21844714253212133,0.7815528574678786,0.32594516285234854,0.6740548371476516,98.632,60.954
h00,1230211016193901463,p1,0.3,0.08603176682630766,0.9139682331736924,0.13985364227014518,0.8601463577298549,35.318,18.212
h00,1230211016193901463,p2,0.3,0.16561856427096155,0.8343814357290386,0.2599381711233831,0.7400618288766168,32.812,19.188
h00,1230211016193901463,p3,0.3,0.20377249082619242,0.7962275091738076,0.305593790315516,0.6944062096844841,32.512,19.568
h00,1230211016193901463,p1,1.0,0.0938416859642537,0.9061583140357463,0.15317699328505796,0.8468230067149422,103.244,51.806
h00,1230211016193901463,p2,1.0,0.1731126461078946,0.8268873538921054,0.26281365412003954,0.7371863458799606,93.302,55.974
h00,1230211016193901463,p3,1.0,0.2059067024267065,0.7940932975732935,0.30133765077285546,0.6986623492271445,93.864,58.284
h00,1288692866185240971,p1,0.3,0.10410851986715869,0.8958914801328414,0.1667015730201408,0.8332984269798592,38.756,20.724
h00,1288692866185240971,p2,0.3,0.20471419302116595,0.7952858069788341,0.2948325446126567,0.7051674553873434,35.528,23.476
h00,1288692866185240971,p3,0.3,0.22555747738839144,0.7744425226116086,0.32406272551218185,0.675937274487818,37.054,24.192
h00,1288692866185240971,p1,1.0,0.0980231425685913,0.9019768574314087,0.1595264314346128,0.8404735685653872,126.924,68.318
h00,1288692866185240971,p2,1.0,0.18210837927098383,0.8178916207290161,0.26662457440059173,0.7333754255994084,118.388,76.0
h00,1288692866185240971,p3,1.0,0.20816077387842774,0.7918392261215722,0.29045401917496627,0.7095459808250336,116.094,76.894
h00,131151734433286475,p1,0.3,0.09371820712690059,0.9062817928730994,0.16094270859859094,0.839057291401409,29.094,13.292
h00,131151734433286475,p2,0.3,0.1998672047303333,0.8001327952696667,0.30409422448037,0.69590577551963,25.438,14.886
h00,131151734433286475,p3,0.3,0.21250802156147258,0.7874919784385274,0.2960158996662093,0.7039841003337906,25.046,16.052
h00,131151734433286475,p1,1.0,0.09799078544393297,0.9020092145560671,0.18135256077640993,0.8186474392235901,99.346,44.484
h00,131151734433286475,p2,1.0,0.202343572314379,0.7976564276856211,0.3327837626182354,0.6672162373817646,88.578,48.86
h00,131151734433286475,p3,1.0,0.21586615954915814,0.7841338404508419,0.3331449697234375,0.6668550302765626,84.842,49.24
h00,1339284857137933822,p1,0.3,0.08201876951962049,0.9179812304803796,0.15448670773670772,0.8455132922632923,24.868,9.806
h00,1339284857137933822,p2,0.3,0.16172088272263072,0.8382791172773694,0.2656626651126651,0.7343373348873348,20.912,10.35
h00,1339284857137933822,p3,0.3,0.18091739821910638,0.8190826017808935,0.28594490509490506,0.714055094905095,20.204,10.95
h00,1339284857137933822,p1,1.0,0.09129829715531597,0.9087017028446841,0.17473012102319957,0.8252698789768005,96.958,40.742
h00,1339284857137933822,p2,1.0,0.1684794840475134,0.8315205159524867,0.3077808554483582,0.6922191445516419,85.99,41.194
h00,1339284857137933822,p3,1.0,0.19511251800337898,0.8048874819966211,0.34171147723968465,0.6582885227603152,86.686,44.574
h00,1342378077608740105,p1,0.3,0.09394473213260045,0.9060552678673996,0.15540602184193517,0.8445939781580649,28.576,14.624
h00,1342378077608740105,p2,0.3,0.19376772505687784,0.8062322749431221,0.29680944535826415,0.7031905546417359,27.68,16.308
h00,1342378077608740105,p3,0.3,0.21188184016651831,0.7881181598334818,0.28642698659269866,0.7135730134073014,25.668,17.584
h00,1342378077608740105,p1,1.0,0.09415621549474747,0.9058437845052526,0.1560958357803969,0.8439041642196031,105.97,52.922
h00,1342378077608740105,p2,1.0,0.18133231793216098,0.818667682067839,0.2825205482221868,0.7174794517778132,100.01,58.598
h00,1342378077608740105,p3,1.0,0.214749120280776,0.785250879719224,0.315850038964793,0.6841499610352071,96.566,60.95
h00,1359395911007969527,p1,0.3,0.095429303458325,0.904570696541675,0.17581193251193253,0.8241880674880675,24.432,9.148
h00,1359395911007969527,p2,0.3,0.1591162230619816,0.8408837769380184,0.29487701187701193,0.7051229881229881,21.552,9.78
h00,1359395911007969527,p3,0.3,0.18863479271030031,0.8113652072896997,0.3048957774251892,0.6951042225748109,20.97,11.494
h00,1359395911007969527,p1,1.0,0.10056181370899572,0.8994381862910042,0.16566099827074243,0.8343390017292576,114.486,57.186
h00,1359395911007969527,p2,1.0,0.18239695772013492,0.817603042279865,0.2849570892631624,0.7150429107368375,108.348,63.424
h00,1359395911007969527,p3,1.0,0.20459256214245483,0.7954074378575451,0.31177252143098905,0.6882274785690108,106.014,65.062
