freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[0.000575, 0.000759)",0.024229864057189587,0.0002835828465656403,0.01651618548497415,0.00014409865205247595,0.015199972337115276,0.00012150953378477844,0.007981554744406788,0.00012924230486738392,0.00451443566926457,5.2962704733622254e-05,0.003968905370719003,4.3053444133800364e-05,0.0029629494331619294,6.374251378788847e-05,0.0013755353959113079,2.0969266348237867e-05,0.0011510219713227405,1.6225069849591153e-05
"[0.000759, 0.001)",0.02085447620780201,0.00022850124583149076,0.014483190123758557,0.00013652241708059183,0.013235691083295434,0.00012056717534854882,0.006398452942005647,9.710486661128071e-05,0.003739593678468391,4.714051040341937e-05,0.0032544315026655757,3.942102541836934e-05,0.002202827193350552,4.4243969864127895e-05,0.0010730388996087537,1.732316828614294e-05,0.0008871626548112648,1.3538958970018024e-05
"[0.001, 0.00132)",0.017419802456722595,0.0002038293346745888,0.012895489625435177,0.00012506497163706015,0.011741054188088788,0.0001128171954257288,0.004936084661441311,7.875156235716305e-05,0.0031420128004245197,4.112608903455425e-05,0.0027199376172597016,3.5070143001542785e-05,0.0015700221624657083,3.229417131800427e-05,0.0008482747099621495,1.432289475125643e-05,0.0006959648864976978,1.1506458497911353e-05
"[0.00132, 0.00174)",0.01458241443803453,0.0001757187974626629,0.01111180380776671,0.00011779611022424364,0.010246507642051835,0.00010853306952885878,0.003860985607248992,6.426210309201668e-05,0.002566107313246631,3.6933043043253485e-05,0.0022396520404506987,3.182210417144235e-05,0.0011541049456838307,2.5622768432389517e-05,0.0006579484528352291,1.2292865132830346e-05,0.0005413910228707156,9.806558682205147e-06
"[0.00174, 0.00229)",0.012480962391167572,0.00014368844323160373,0.009705912500036705,0.00010573914591798417,0.009027660402564032,0.00010358451275469958,0.0030802746267809145,4.914488910127e-05,0.0020705617714971663,2.9515472372862635e-05,0.0018667447225653333,2.8319430910018853e-05,0.0008543363881656329,1.7950407410305995e-05,0.0004881530034059226,8.727224814875794e-06,0.0004257654156044719,8.131063929275584e-06
"[0.00229, 0.00302)",0.010335856371830378,0.00012959290848388815,0.008310238226745542,9.630837722516659e-05,0.008067176052674803,0.0001005873863864804,0.00235197570861383,4.16110374594499e-05,0.0016832837029560801,2.5986704366166184e-05,0.0015869712008759122,2.647596179448226e-05,0.0006031172974511603,1.4439476271278831e-05,0.0003774684409811376,7.427296159148494e-06,0.00034430389393399905,7.2642495417499595e-06
"[0.00302, 0.00398)",0.008614993470423488,0.00011362395835236755,0.007400079205612253,0.00010659794348828794,0.007176733112991769,0.00010746947780120401,0.0018142360848487312,3.331182513093504e-05,0.001423627675613734,2.737688621192582e-05,0.0013525186566481066,2.6416239960185778e-05,0.00043026620181532216,1.0486913148242389e-05,0.000303007988422585,7.303325631460391e-06,0.0002809975801068557,6.833769375494975e-06
"[0.00398, 0.00525)",0.007329739531012866,9.542261487967948e-05,0.006351311670863956,9.90192196156432e-05,0.006304094122959714,9.593537342467273e-05,0.0014381130095662451,2.61536530481525e-05,0.0011443785959264507,2.3925796223874894e-05,0.0011212585640959368,2.2519882535981146e-05,0.0003167990594106058,7.7307615393226e-06,0.00022784541766431764,6.042586610128541e-06,0.00021953751015308472,5.511370426725175e-06
"[0.00525, 0.00692)",0.005981655362389775,8.50573464653487e-05,0.005692512128820521,9.413491851615314e-05,0.005666992393863048,0.00010715935119406425,0.0010663384555811314,2.1324821083738985e-05,0.0009720512290118245,2.112527643191867e-05,0.000957012935240098,2.3769546496794103e-05,0.0002136035418445345,5.680718018433173e-06,0.00018367669243697743,4.956945186747264e-06,0.0001779765221892879,5.477652274836527e-06
"[0.00692, 0.00912)",0.004996873063588512,7.177051602691731e-05,0.005308313001412703,0.00010165873170423836,0.005239476914141905,0.00010813477050152693,0.0008291869386911625,1.688691303923723e-05,0.0008851875012717512,2.230685337255399e-05,0.0008678084341880451,2.3550785087956146e-05,0.00015552435784194855,4.2570472701767536e-06,0.00016292832468565242,5.125512517774803e-06,0.0001590040165487908,5.350098458653802e-06
"[0.00912, 0.012)",0.004396552364666562,6.131578404723426e-05,0.00476598168725641,9.755999499314779e-05,0.004823236082972557,0.00011794155341012323,0.0006857657364617953,1.3567721678515588e-05,0.0007604043480577529,2.0072149226377993e-05,0.0007654747183831958,2.4275635826472013e-05,0.00012052740689385178,3.2606528183702382e-06,0.00013357835354260478,4.300592024245346e-06,0.00013388148027534068,5.204123984118051e-06
"[0.012, 0.0158)",0.0035555892452354817,5.293126669219925e-05,0.004148226815378914,0.00010379324397932279,0.004209951332530432,0.00011124328066458082,0.0005026060778586997,1.0247891422058141e-05,0.000626995416117772,2.1035076743710756e-05,0.0006436104507399474,2.2147239606377233e-05,7.953496087836237e-05,2.120719565161089e-06,0.00010502430774614598,4.452003600321647e-06,0.00010887247295284958,4.630228037103916e-06
