"pop","tau","unit",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",1.3,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,48404,0.0000109,0.0000109,"***"
"African",1.3,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,41,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000162,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,156,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000324,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,3609,0.0000000000000000000000000000000000000000000000000000000000000000000000000179,0.0000000000000000000000000000000000000000000000000000000000000000000000000179,"***"
"European",0.7,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,120650,0.00000000000000000000000000000000000000000000000000000000000000000000000469,0.00000000000000000000000000000000000000000000000000000000000000000000000938,"***"
"European",0.7,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,14684,0.0000000000000000000000000000000000000000000000000916,0.0000000000000000000000000000000000000000000000000916,"***"
"European",0.7,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,3766,0.0000000000000000000000000000000000000000000000000000000000000000000000000435,0.00000000000000000000000000000000000000000000000000000000000000000000000013,"***"
"European",0.7,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,60,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000182,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,249,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000565,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000113,"***"
"European",0.8,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
