hXX,simID,pop,class,length_Mb,length_cM
h00,1159482635262466889,p1,C,1.4851496505376345,2.0603522311827955
h00,1159482635262466889,p2,A,0.06820009936798102,0.04724198038791436
h00,1159482635262466889,p2,B,0.2570052301832161,0.3691337755452273
h00,1159482635262466889,p2,C,1.037104755725191,1.7617458778625954
h00,1159482635262466889,p3,A,0.07307684526216332,0.05321286922294047
h00,1159482635262466889,p3,B,0.2567292895916119,0.36736524101298795
h00,1159482635262466889,p3,C,0.9824339031007753,1.7197251033591732
h00,1187492628487565367,p1,A,0.04023522318487238,0.0245007756211447
h00,1187492628487565367,p1,B,0.303620996548993,0.4056410084489057
h00,1187492628487565367,p1,C,1.5010716818181817,2.088789053030303
h00,1187492628487565367,p2,A,0.06761527987993948,0.04709837084412311
h00,1187492628487565367,p2,B,0.2615848437185398,0.3689904761603243
h00,1187492628487565367,p2,C,0.8548810974235105,1.7835874879227054
h00,1187492628487565367,p3,A,0.07290794505737529,0.0535448268295549
h00,1187492628487565367,p3,B,0.2562223858610354,0.3700320534714148
h00,1187492628487565367,p3,C,0.914987282208589,1.6817001840490795
h00,1188344642156280027,p1,A,0.04099195361673044,0.0247071368151633
h00,1188344642156280027,p1,B,0.32067693326096147,0.4005502625
h00,1188344642156280027,p1,C,1.4691792543103448,2.009621264367816
h00,1188344642156280027,p2,A,0.07111419274595704,0.05096846272319254
h00,1188344642156280027,p2,B,0.26793257014817495,0.3682758139560308
h00,1188344642156280027,p2,C,0.8947971319444444,1.6642207638888888
h00,1188344642156280027,p3,A,0.07866839071142742,0.05616980089671388
h00,1188344642156280027,p3,B,0.262293557099872,0.37313567830429895
h00,1188344642156280027,p3,C,0.8545531693989071,1.5885434972677597
h00,1194843192800477130,p1,A,0.040174542781245694,0.024220080546605977
h00,1194843192800477130,p1,B,0.30932965153596687,0.40650493574443464
h00,1194843192800477130,p1,C,1.3196928072139302,2.041352151741293
h00,1194843192800477130,p2,A,0.07131075798594337,0.04971202413342547
h00,1194843192800477130,p2,B,0.26007250659210196,0.369436650849823
h00,1194843192800477130,p2,C,1.0277953723404256,1.8349195508274232
h00,1194843192800477130,p3,A,0.07553417561051784,0.054244418295698364
h00,1194843192800477130,p3,B,0.2520090438191319,0.3676088208778121
h00,1194843192800477130,p3,C,0.9488018864468863,1.8022972069597072
h00,1230211016193901463,p1,A,0.0404274338547541,0.024538338798299288
h00,1230211016193901463,p1,B,0.31745924396190356,0.40426979584190487
h00,1230211016193901463,p1,C,1.3434047549019608,1.8628955042016806
h00,1230211016193901463,p2,A,0.06750270735583405,0.04747263184586891
h00,1230211016193901463,p2,B,0.2512581733797179,0.3650469662336049
h00,1230211016193901463,p2,C,0.874571555876686,1.83159225433526
h00,1230211016193901463,p3,A,0.07804443896515839,0.05477392078747732
h00,1230211016193901463,p3,B,0.25575514569843444,0.37151584714922065
h00,1230211016193901463,p3,C,1.0375850755033558,1.7878074496644294
h00,1288692866185240971,p1,A,0.03997932520934059,0.023423645351510636
h00,1288692866185240971,p1,B,0.3238246740175213,0.3990452509995351
h00,1288692866185240971,p1,C,1.553867392086331,2.1251033573141487
h00,1288692866185240971,p2,A,0.06718337718037423,0.046995240429418265
h00,1288692866185240971,p2,B,0.26076145087592734,0.3685346362166291
h00,1288692866185240971,p2,C,1.1712122732843138,1.9201563602941174
h00,1288692866185240971,p3,A,0.07561407919764761,0.05368903152830872
h00,1288692866185240971,p3,B,0.2583817859041147,0.36749631691247125
h00,1288692866185240971,p3,C,0.9358544403669724,1.6579260244648317
h00,131151734433286475,p1,A,0.03957202025160452,0.023721178004582188
h00,131151734433286475,p1,B,0.3173818423881674,0.40731827354550626
h00,131151734433286475,p1,C,1.3024418687664043,1.8351031758530183
h00,131151734433286475,p2,A,0.0689006716886109,0.04665489410270944
h00,131151734433286475,p2,B,0.24898191818718893,0.36188518775195255
h00,131151734433286475,p2,C,0.8152525529801324,1.6511363907284768
h00,131151734433286475,p3,A,0.07565309496603373,0.05369647372618823
h00,131151734433286475,p3,B,0.2523508170776016,0.36525687123053213
h00,131151734433286475,p3,C,0.8360045064599484,1.506347454780362
h00,1339284857137933822,p1,A,0.040713144351032585,0.024234224069617387
h00,1339284857137933822,p1,B,0.31997075631457816,0.4053890758731029
h00,1339284857137933822,p1,C,1.7468906349862259,2.115412438016529
h00,1339284857137933822,p2,A,0.06904058197894024,0.04793689642228794
h00,1339284857137933822,p2,B,0.25701202841581067,0.3625880095106342
