hXX,simID,pop,tau,subset_value,Total_V_G,Total_V_A,Total_V_D,Total_cov,Total_check,ROH_V_G,Non_ROH_V_G,ROH_cov,ROH_check
h00,103568543989312214,p1,0.9,1.0,1.6735595119941102,0.4617329847320068,1.2487769706241116,-0.0369504433620095,-1.3322676295501878e-15,1.6277197858780048,0.0278399243345758,0.0089999008907643,-6.661338147750939e-16
h00,103568543989312214,p1,1.0,1.0,1.7472173638218422,0.5083426859931419,1.2744915705367497,-0.0356168927080502,-8.881784197001252e-16,1.7180996888662248,0.0162469850709761,0.0064353449423207,2.220446049250313e-16
h00,103568543989312214,p1,1.1,1.0,1.8101804324543131,0.5511073682105958,1.2906848866452227,-0.0316118224015053,-2.220446049250313e-16,1.790135917694896,0.0096687384688767,0.0051878881452703,2.220446049250313e-16
h00,103568543989312214,p1,1.2,1.0,1.8670288505743264,0.5906010857055883,1.3027391066616223,-0.0263113417928837,4.440892098500626e-16,1.8517760721068728,0.0058981582486125,0.0046773101094203,0.0
h00,103568543989312214,p1,1.3,1.0,1.9204852067136635,0.6275814323266706,1.3135743595030294,-0.0206705851160368,-2.220446049250313e-16,1.9077041591281587,0.0037086959484769,0.0045361758185132,-1.3322676295501878e-15
h00,103568543989312214,p2,0.7,1.0,0.797248012039184,0.3153795362129195,0.5031718564203455,-0.0213033805940807,1.1102230246251563e-16,0.6998110344214062,0.06523407625631,0.0161014506807339,1.1102230246251563e-16
h00,103568543989312214,p2,0.8,1.0,0.7525512456723326,0.3120560370312861,0.4624988746862094,-0.0220036660451633,-3.3306690738754696e-16,0.698972858857414,0.0357671712998688,0.0089056077575247,-2.220446049250313e-16
h00,103568543989312214,p2,0.9,1.0,0.7198814214930913,0.3200009906734367,0.4203430897607628,-0.0204626589411082,0.0,0.6908645501782129,0.0192981394130654,0.0048593659509064,0.0
h00,103568543989312214,p2,1.0,1.0,0.6978948606300373,0.3325473041066455,0.3831520633803418,-0.0178045068569496,4.440892098500626e-16,0.6818053909167998,0.0105369242876085,0.0027762727128145,3.3306690738754696e-16
h00,103568543989312214,p2,1.1,1.0,0.68278009162538,0.345412667336283,0.3521900983302332,-0.0148226740411363,-1.1102230246251563e-16,0.6733486310106583,0.0059093550386213,0.0017610527880501,0.0
h00,103568543989312214,p2,1.2,1.0,0.6709470726111941,0.3563483504990284,0.3265690808706167,-0.0119703587584508,1.1102230246251563e-16,0.6649530815205854,0.0034278741044998,0.0012830584930544,1.1102230246251563e-16
h00,103568543989312214,p2,1.3,1.0,0.6597820492952968,0.3643349351840194,0.304906081981824,-0.0094589678705468,-1.1102230246251563e-16,0.6555955619265382,0.0020657545354389,0.0010603664166598,-1.1102230246251563e-16
h00,103568543989312214,p3,0.7,1.0,0.7244123111391852,0.203936554121847,0.5395657616157794,-0.0190900045984413,-2.220446049250313e-16,0.6166178393878132,0.1147904358761691,-0.0034979820623985,0.0
h00,103568543989312214,p3,0.8,1.0,0.6646504845777292,0.1717481625053961,0.5079879516963249,-0.0150856296239918,0.0,0.5892213471010126,0.0864939034541423,-0.0055323829887129,-2.220446049250313e-16
h00,103568543989312214,p3,0.9,1.0,0.6083925534707553,0.1525526165689311,0.4677425821554231,-0.0119026452535991,-1.1102230246251563e-16,0.5521427499113059,0.0666634224118674,-0.0052068094262089,1.1102230246251563e-16
h00,103568543989312214,p3,1.0,1.0,0.5554625086708312,0.1397628789075934,0.4250899505714794,-0.0093903208082416,0.0,0.5115410657170371,0.0522609378806911,-0.0041697474634484,0.0
h00,103568543989312214,p3,1.1,1.0,0.5057229243524095,0.1296766605732276,0.3833564123846868,-0.0073101486055052,-2.220446049250313e-16,0.4707645324779387,0.0412092859176541,-0.0031254470215917,-1.1102230246251563e-16
h00,103568543989312214,p3,1.2,1.0,0.4592225021140826,0.1206516047295252,0.3440952621909491,-0.0055243648063917,5.551115123125783e-17,0.4313769356910112,0.0324052781891223,-0.0022798558830255,-1.1102230246251563e-16
h00,103568543989312214,p3,1.3,1.0,0.4160295305316583,0.1120813102752943,0.3079312016626006,-0.0039829814062363,2.7755575615628914e-16,0.39402818395848,0.0252945153044707,-0.0016465843656462,0.0
h00,1059344429161942577,p1,0.7,0.3,0.2753479212369107,0.0491605800771066,0.2261789014010957,8.439758708363813e-06,0.0,0.2346069751905063,0.030290048463131,0.0052254487916367,5.551115123125783e-17
h00,1059344429161942577,p1,0.8,0.3,0.297326108829365,0.0449012788956366,0.2535776379981585,-0.0011528080644301,-5.551115123125783e-17,0.2712202743862382,0.0180174192755118,0.0040442075838075,5.551115123125783e-17
