hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1125644244035275340,European,1.3,3.103072290955171e-05,0.0,0.0,3.103072290955171e-05,0.0,100.0
h00,1125644244035275340,East Asian,0.7,8.34166116256712e-05,0.0,0.0,8.34166116256712e-05,0.0,100.0
h00,1125644244035275340,East Asian,0.8,3.877831331232773e-05,0.0,0.0,3.877831331232773e-05,0.0,100.0
h00,1125644244035275340,East Asian,0.9,1.973132112268464e-05,0.0,0.0,1.9731321122684648e-05,0.0,100.00000000000003
h00,1125644244035275340,East Asian,1.0,1.0649783332656055e-05,0.0,0.0,1.0649783332656052e-05,0.0,99.99999999999997
h00,1125644244035275340,East Asian,1.1,5.95523478617269e-06,0.0,0.0,5.955234786172692e-06,0.0,100.00000000000004
h00,1125644244035275340,East Asian,1.2,3.398468670867359e-06,0.0,0.0,3.3984686708673577e-06,0.0,99.99999999999997
h00,1125644244035275340,East Asian,1.3,1.9617715919623793e-06,0.0,0.0,1.9617715919623785e-06,0.0,99.99999999999996
h00,1133874929495765677,African,0.7,0.00032679274865917004,0.0,0.0,0.00032679274865917004,0.0,100.0
h00,1133874929495765677,African,0.8,0.00023473566781579466,0.0,0.0,0.00023473566781579474,0.0,100.00000000000003
h00,1133874929495765677,African,0.9,0.00017413947462454618,0.0,0.0,0.00017413947462454618,0.0,100.00000000000001
h00,1133874929495765677,African,1.0,0.00013098290002906937,0.0,0.0,0.0001309829000290693,0.0,99.99999999999996
h00,1133874929495765677,African,1.1,9.912518120647556e-05,0.0,0.0,9.912518120647559e-05,0.0,100.00000000000001
h00,1133874929495765677,African,1.2,7.5224222414402e-05,0.0,0.0,7.5224222414402e-05,0.0,100.0
h00,1133874929495765677,African,1.3,5.715945344927059e-05,0.0,0.0,5.7159453449270604e-05,0.0,100.00000000000001
h00,1133874929495765677,European,0.7,4.0714932465007766e-05,0.0,1.7882256399270691e-06,3.87168948445294e-05,1.0490599027565575e-07,100.00000000000003
h00,1133874929495765677,European,0.8,1.3514570321949946e-05,0.0,6.560046759523698e-07,1.2820801515852145e-05,1.888206507271599e-08,100.0
h00,1133874929495765677,European,0.9,4.740763911974944e-06,0.0,2.4065315095746266e-07,4.4958867878539075e-06,2.1119865817864036e-09,99.99999999999999
h00,1133874929495765677,European,1.0,1.7259819461628362e-06,0.0,8.828281441999999e-08,1.638520506556145e-06,-4.106874066542839e-10,100.00000000000001
h00,1133874929495765677,European,1.1,6.443979415014932e-07,0.0,3.2386259190488534e-08,6.128980870502137e-07,-4.4320236960449604e-10,100.0
h00,1133874929495765677,European,1.2,2.448962982750339e-07,0.0,1.1880792329111453e-08,2.3348562636985765e-07,-2.350602119675526e-10,100.00000000000004
h00,1133874929495765677,European,1.3,9.431532583302102e-08,0.0,4.358429466559952e-09,9.016554711785582e-08,-1.0432537569738422e-10,99.99999999999997
h00,1133874929495765677,East Asian,0.7,0.00010065340714885661,0.0,0.0,0.00010065340714885662,0.0,100.00000000000001
h00,1133874929495765677,East Asian,0.8,4.039557778009976e-05,0.0,0.0,4.039557778009976e-05,0.0,100.0
h00,1133874929495765677,East Asian,0.9,1.6972381542366463e-05,0.0,0.0,1.6972381542366463e-05,0.0,100.0
h00,1133874929495765677,East Asian,1.0,7.3617362480699085e-06,0.0,0.0,7.361736248069908e-06,0.0,99.99999999999999
h00,1133874929495765677,East Asian,1.1,3.273288044828127e-06,0.0,0.0,3.273288044828127e-06,0.0,100.0
h00,1133874929495765677,East Asian,1.2,1.486605593363963e-06,0.0,0.0,1.486605593363963e-06,0.0,100.0
h00,1133874929495765677,East Asian,1.3,6.88173582634548e-07,0.0,0.0,6.88173582634548e-07,0.0,100.0
h00,1152801672532746091,African,0.7,0.00029118401313454087,0.0,3.025655165857303e-06,0.0002889451648867865,-3.934034590514389e-07,100.00000000000001
h00,1152801672532746091,African,0.8,0.0001621348696273162,0.0,1.1965537336601755e-06,0.00016121140189893695,-1.365430026404517e-07,100.00000000000001
h00,1152801672532746091,African,0.9,9.299121995610161e-05,0.0,4.7320026871946316e-07,9.262058472680021e-05,-5.1282519709025266e-08,100.00000000000001
h00,1152801672532746091,African,1.0,5.437268685632434e-05,0.0,1.8713617952720006e-07,5.422673724025799e-05,-2.0593281730422426e-08,100.00000000000001
h00,1152801672532746091,African,1.1,3.222104982367532e-05,0.0,7.400661411880558e-08,3.2164476618213374e-05,-8.716704328429183e-09,100.0
h00,1152801672532746091,African,1.2,1.9281718784694695e-05,0.0,2.926734395864766e-08,1.9260126848184566e-05,-3.837703724258395e-09,100.0
h00,1152801672532746091,African,1.3,1.1624162846108727e-05,0.0,1.1574336058918898e-08,1.161606567812902e-05,-1.73858403960476e-09,100.00000000000004
h00,1152801672532746091,European,0.7,8.411941259071021e-05,0.0,7.665502557720482e-06,7.555129460656642e-05,4.5130771321164844e-07,100.0
h00,1152801672532746091,European,0.8,2.85260023072921e-05,0.0,3.306026591668562e-06,2.4920476345688983e-05,1.4974968496727827e-07,100.00000000000001
h00,1152801672532746091,European,0.9,1.0212410670068245e-05,0.0,1.4356822413614122e-06,8.681319908974715e-06,4.770425986605932e-08,100.00000000000003
