hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1077681494354284445,European,0.7,3.038838073321814e-05,0.0,2.625890601396724e-10,3.038911304041012e-05,-4.974481260579524e-10,100.0
h00,1077681494354284445,European,0.8,9.997344148156981e-06,0.0,2.730039966268135e-11,9.997544831408519e-06,-1.1399182560133837e-10,99.99999999999999
h00,1077681494354284445,European,0.9,3.4823744030853643e-06,0.0,2.8383201544866297e-12,3.482418790924374e-06,-2.3613079582071694e-11,100.0
h00,1077681494354284445,European,1.0,1.2656067693671738e-06,0.0,2.950895004800002e-13,1.2656158241585578e-06,-4.67494044232158e-12,100.0
h00,1077681494354284445,European,1.1,4.743396225222993e-07,0.0,3.0679348542090603e-14,4.7434140368603676e-07,-9.059215430093636e-13,100.0
h00,1077681494354284445,European,1.2,1.817887651135285e-07,0.0,3.1896167957045736e-15,1.8178910977367948e-07,-1.739248838946237e-13,100.0
h00,1077681494354284445,European,1.3,7.082294287513407e-08,0.0,3.316124946226579e-16,7.082300915744828e-08,-3.330696335828655e-14,99.99999999999999
h00,1077681494354284445,East Asian,0.7,0.00014626716341794023,0.0,5.141873901329997e-05,9.737828623647872e-05,-1.2649309159192457e-06,99.99999999999997
h00,1077681494354284445,East Asian,0.8,7.196758315667094e-05,0.0,3.0466046451073432e-05,4.2543973192924e-05,-5.212182436632526e-07,99.99999999999999
h00,1077681494354284445,East Asian,0.9,3.806732615794689e-05,0.0,1.8055546396619223e-05,2.044947775118589e-05,-2.1884899492911495e-07,99.99999999999999
h00,1077681494354284445,East Asian,1.0,2.0963394357014582e-05,0.0,1.0701331875804768e-05,1.0451434627178735e-05,-9.468607298446435e-08,99.99999999999997
h00,1077681494354284445,East Asian,1.1,1.1808338107804274e-05,0.0,6.342715953354712e-06,5.55052906734619e-06,-4.24534564483131e-08,100.00000000000001
h00,1077681494354284445,East Asian,1.2,6.7406305237186255e-06,0.0,3.759374760865774e-06,3.02076817091845e-06,-1.9756204032800058e-08,99.99999999999999
h00,1077681494354284445,East Asian,1.3,3.879984859701511e-06,0.0,2.2282126717135368e-06,1.6708284264252594e-06,-9.52811921864284e-09,99.99999999999996
h00,1125400568553395400,African,0.7,0.00010667135814459031,0.0,1.1527684067437665e-06,0.00010578361018854004,-1.3251022534676643e-07,99.99999999999996
h00,1125400568553395400,African,0.8,5.4694879285910774e-05,0.0,3.9547894218101906e-07,5.4384166269766855e-05,-4.2382963018547535e-08,100.0
h00,1125400568553395400,African,0.9,2.9378343158936802e-05,0.0,1.359115757338832e-07,2.9271389208709707e-05,-1.4478812753399045e-08,99.99999999999996
h00,1125400568553395400,African,1.0,1.6303240301395125e-05,0.0,4.674734578730729e-08,1.6266930325687753e-05,-5.218685039965802e-09,100.00000000000004
h00,1125400568553395400,African,1.1,9.260594866312135e-06,0.0,1.608555760383807e-08,9.24843628401562e-06,-1.963487653660748e-09,100.00000000000001
h00,1125400568553395400,African,1.2,5.3492093748119335e-06,0.0,5.536071104113641e-09,5.345202059131288e-06,-7.643777117358417e-10,99.99999999999993
h00,1125400568553395400,African,1.3,3.1275403110351395e-06,0.0,1.9054986831409198e-09,3.1262463221068336e-06,-3.057548774175956e-10,99.99999999999999
h00,1125400568553395400,European,0.7,1.4123283010955615e-05,0.0,3.6883077824998926e-10,1.41266058835422e-05,-1.8458516824159642e-09,100.00000000000003
h00,1125400568553395400,European,0.8,3.856027309274466e-06,0.0,4.025299299801162e-11,3.8565531350553515e-06,-2.830393869420319e-10,99.99999999999997
h00,1125400568553395400,European,0.9,1.0976351747487015e-06,0.0,4.393080894674561e-12,1.0977196309163689e-06,-4.442462428107923e-11,100.0
h00,1125400568553395400,European,1.0,3.2402961880477883e-07,0.0,4.794465780000004e-13,3.240433508874694e-07,-7.105764634296087e-12,100.0
h00,1125400568553395400,European,1.1,9.880562142362301e-08,0.0,5.2325242049279006e-14,9.88078792108386e-08,-1.1550562288160055e-12,100.00000000000001
h00,1125400568553395400,European,1.2,3.101010702953011e-08,0.0,5.7106069396445855e-15,3.101048226791354e-08,-1.9047449518920194e-13,99.99999999999997
