pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p3,A,500,0,0,h00,1288692866185240971
p3,B,349,151,0,h00,1288692866185240971
p3,C,27,82,391,h00,1288692866185240971
p3,Non-ROH,500,0,0,h00,1288692866185240971
p1,A,414,86,0,h00,131151734433286475
p1,B,102,372,26,h00,131151734433286475
p1,C,27,100,373,h00,131151734433286475
p1,Non-ROH,500,0,0,h00,131151734433286475
p2,A,495,5,0,h00,131151734433286475
p2,B,198,302,0,h00,131151734433286475
p2,C,21,130,349,h00,131151734433286475
p2,Non-ROH,500,0,0,h00,131151734433286475
p3,A,496,4,0,h00,131151734433286475
p3,B,235,265,0,h00,131151734433286475
p3,C,15,114,371,h00,131151734433286475
p3,Non-ROH,500,0,0,h00,131151734433286475
p1,A,372,128,0,h00,1339284857137933822
p1,B,85,406,9,h00,1339284857137933822
p1,C,27,94,379,h00,1339284857137933822
p1,Non-ROH,500,0,0,h00,1339284857137933822
p2,A,451,49,0,h00,1339284857137933822
p2,B,211,289,0,h00,1339284857137933822
p2,C,58,95,347,h00,1339284857137933822
p2,Non-ROH,500,0,0,h00,1339284857137933822
p3,A,472,28,0,h00,1339284857137933822
p3,B,237,263,0,h00,1339284857137933822
p3,C,30,102,368,h00,1339284857137933822
p3,Non-ROH,500,0,0,h00,1339284857137933822
p1,A,455,45,0,h00,1342378077608740105
p1,B,99,384,17,h00,1342378077608740105
p1,C,27,81,392,h00,1342378077608740105
p1,Non-ROH,500,0,0,h00,1342378077608740105
p2,A,492,8,0,h00,1342378077608740105
p2,B,221,279,0,h00,1342378077608740105
p2,C,25,121,354,h00,1342378077608740105
p2,Non-ROH,500,0,0,h00,1342378077608740105
p3,A,497,3,0,h00,1342378077608740105
p3,B,283,217,0,h00,1342378077608740105
p3,C,11,120,369,h00,1342378077608740105
p3,Non-ROH,500,0,0,h00,1342378077608740105
p1,A,378,122,0,h00,1359395911007969527
p1,B,78,406,16,h00,1359395911007969527
p1,C,24,98,378,h00,1359395911007969527
p1,Non-ROH,500,0,0,h00,1359395911007969527
p2,A,467,33,0,h00,1359395911007969527
p2,B,175,325,0,h00,1359395911007969527
p2,C,10,113,377,h00,1359395911007969527
p2,Non-ROH,500,0,0,h00,1359395911007969527
p3,A,481,19,0,h00,1359395911007969527
p3,B,205,295,0,h00,1359395911007969527
p3,C,12,151,337,h00,1359395911007969527
p3,Non-ROH,500,0,0,h00,1359395911007969527
p1,A,480,20,0,h00,1364957052074976682
p1,B,117,368,15,h00,1364957052074976682
p1,C,41,114,345,h00,1364957052074976682
p1,Non-ROH,500,0,0,h00,1364957052074976682
p2,A,496,4,0,h00,1364957052074976682
p2,B,282,218,0,h00,1364957052074976682
p2,C,25,106,369,h00,1364957052074976682
p2,Non-ROH,500,0,0,h00,1364957052074976682
p3,A,490,10,0,h00,1364957052074976682
p3,B,299,201,0,h00,1364957052074976682
p3,C,24,111,365,h00,1364957052074976682
p3,Non-ROH,500,0,0,h00,1364957052074976682
p1,A,459,41,0,h00,1408911269877720474
p1,B,103,380,17,h00,1408911269877720474
p1,C,25,85,390,h00,1408911269877720474
p1,Non-ROH,500,0,0,h00,1408911269877720474
p2,A,491,9,0,h00,1408911269877720474
p2,B,227,273,0,h00,1408911269877720474
p2,C,20,124,356,h00,1408911269877720474
p2,Non-ROH,500,0,0,h00,1408911269877720474
p3,A,494,6,0,h00,1408911269877720474
p3,B,230,270,0,h00,1408911269877720474
p3,C,9,155,336,h00,1408911269877720474
p3,Non-ROH,500,0,0,h00,1408911269877720474
p1,A,429,71,0,h00,1445831990664690369
p1,B,77,408,15,h00,1445831990664690369
p1,C,18,94,388,h00,1445831990664690369
p1,Non-ROH,500,0,0,h00,1445831990664690369
p2,A,498,2,0,h00,1445831990664690369
p2,B,215,285,0,h00,1445831990664690369
p2,C,27,155,318,h00,1445831990664690369
p2,Non-ROH,500,0,0,h00,1445831990664690369
p3,A,494,6,0,h00,1445831990664690369
p3,B,289,211,0,h00,1445831990664690369
p3,C,20,112,368,h00,1445831990664690369
p3,Non-ROH,500,0,0,h00,1445831990664690369
p1,A,423,77,0,h00,1457999149615807420
p1,B,92,390,18,h00,1457999149615807420
p1,C,23,98,379,h00,1457999149615807420
p1,Non-ROH,500,0,0,h00,1457999149615807420
p2,A,493,7,0,h00,1457999149615807420
p2,B,207,293,0,h00,1457999149615807420
p2,C,13,108,379,h00,1457999149615807420
p2,Non-ROH,500,0,0,h00,1457999149615807420
p3,A,496,4,0,h00,1457999149615807420
p3,B,257,243,0,h00,1457999149615807420
p3,C,9,161,330,h00,1457999149615807420
p3,Non-ROH,500,0,0,h00,1457999149615807420
p1,A,468,32,0,h00,1463814346912061226
p1,B,111,372,17,h00,1463814346912061226
p1,C,27,96,377,h00,1463814346912061226
p1,Non-ROH,500,0,0,h00,1463814346912061226
p2,A,497,3,0,h00,1463814346912061226
p2,B,258,242,0,h00,1463814346912061226
p2,C,22,137,341,h00,1463814346912061226
p2,Non-ROH,500,0,0,h00,1463814346912061226
p3,A,492,8,0,h00,1463814346912061226
p3,B,304,196,0,h00,1463814346912061226
p3,C,20,146,334,h00,1463814346912061226
p3,Non-ROH,500,0,0,h00,1463814346912061226
p1,A,430,70,0,h00,1471689743914301753
p1,B,69,406,25,h00,1471689743914301753
p1,C,34,100,366,h00,1471689743914301753
p1,Non-ROH,500,0,0,h00,1471689743914301753
p2,A,491,9,0,h00,1471689743914301753
p2,B,240,260,0,h00,1471689743914301753
p2,C,16,107,377,h00,1471689743914301753
p2,Non-ROH,500,0,0,h00,1471689743914301753
p3,A,497,3,0,h00,1471689743914301753
p3,B,270,230,0,h00,1471689743914301753
p3,C,12,135,353,h00,1471689743914301753
p3,Non-ROH,500,0,0,h00,1471689743914301753
p1,A,442,58,0,h00,1496704753167729159
p1,B,95,389,16,h00,1496704753167729159
p1,C,56,71,373,h00,1496704753167729159
p1,Non-ROH,500,0,0,h00,1496704753167729159
p2,A,497,3,0,h00,1496704753167729159
p2,B,256,244,0,h00,1496704753167729159
p2,C,46,59,395,h00,1496704753167729159
p2,Non-ROH,500,0,0,h00,1496704753167729159
p3,A,499,1,0,h00,1496704753167729159
p3,B,297,203,0,h00,1496704753167729159
p3,C,100,74,326,h00,1496704753167729159
p3,Non-ROH,500,0,0,h00,1496704753167729159
p1,A,424,76,0,h00,1509754406400523100
p1,B,77,411,12,h00,1509754406400523100
p1,C,30,98,372,h00,1509754406400523100
p1,Non-ROH,500,0,0,h00,1509754406400523100
p2,A,486,14,0,h00,1509754406400523100
p2,B,231,269,0,h00,1509754406400523100
p2,C,22,118,360,h00,1509754406400523100
p2,Non-ROH,500,0,0,h00,1509754406400523100
p3,A,488,12,0,h00,1509754406400523100
p3,B,264,236,0,h00,1509754406400523100
p3,C,18,165,317,h00,1509754406400523100
p3,Non-ROH,500,0,0,h00,1509754406400523100
p1,A,441,59,0,h00,1513359600866312384
p1,B,93,390,17,h00,1513359600866312384
p1,C,28,90,382,h00,1513359600866312384
p1,Non-ROH,500,0,0,h00,1513359600866312384
p2,A,477,23,0,h00,1513359600866312384
p2,B,173,327,0,h00,1513359600866312384
p2,C,22,115,363,h00,1513359600866312384
p2,Non-ROH,500,0,0,h00,1513359600866312384
p3,A,492,8,0,h00,1513359600866312384
p3,B,251,249,0,h00,1513359600866312384
p3,C,8,160,332,h00,1513359600866312384
p3,Non-ROH,500,0,0,h00,1513359600866312384
p1,A,443,57,0,h00,1517243854596332318
p1,B,84,407,9,h00,1517243854596332318
p1,C,24,115,361,h00,1517243854596332318
p1,Non-ROH,500,0,0,h00,1517243854596332318
p2,A,489,11,0,h00,1517243854596332318
p2,B,210,290,0,h00,1517243854596332318
p2,C,14,157,329,h00,1517243854596332318
p2,Non-ROH,500,0,0,h00,1517243854596332318
p3,A,493,7,0,h00,1517243854596332318
p3,B,252,248,0,h00,1517243854596332318
p3,C,14,112,374,h00,1517243854596332318
p3,Non-ROH,500,0,0,h00,1517243854596332318
p1,A,457,43,0,h00,155683629558891336
p1,B,114,380,6,h00,155683629558891336
p1,C,24,85,391,h00,155683629558891336
p1,Non-ROH,500,0,0,h00,155683629558891336
p2,A,495,5,0,h00,155683629558891336
p2,B,234,266,0,h00,155683629558891336
