pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p2,1.0,0.0105614050648778,0.0105614050648778,0.3193116352619948,0.0067948861598566,0.0082462210677871,0.0515667233925794,0.0012706272419023,0.0057015324957156,0.0037969747650462,0.0014632451793357,0.0014632451793357,0.6253246665803794,h00,1026591750036320836
p2,1.1,0.0068355547302057,0.0068355547302057,0.325043391349045,0.0045590249620362,0.0055327972840245,0.053526968580502,0.00065513755849,0.0029397198137374,0.0038468753600028,0.0007550757311182,0.0007550757311182,0.61758276471045,h00,1026591750036320836
p2,1.2,0.0045993844650228,0.0045993844650228,0.3298183361851888,0.0031088129534986,0.0037728312542459,0.0551883865679653,0.0003359570897867,0.0015074997618635,0.0038952256184787,0.0003905056295665,0.0003905056295665,0.6110980516283671,h00,1026591750036320836
p2,1.3,0.0032254879868884,0.0032254879868884,0.3337406528049541,0.0021562618199076,0.0026168225969752,0.0565826046405158,0.0001720099559471,0.0007718395459165,0.0039411920729298,0.0002032744014633,0.0002032744014633,0.6057355504816003,h00,1026591750036320836
p3,0.7,0.0493171058099524,0.0493171058099524,0.3321507987965215,0.0276513581223789,0.0308608907615835,0.0641991612602498,0.046308216393273,0.1402477410767698,0.0066532197378988,0.010501711206497,0.010501711206497,0.5969968202053297,h00,1026591750036320836
p3,0.8,0.030929632108501,0.030929632108501,0.3445419836367325,0.0201125776127125,0.0224470732284737,0.0678714822860231,0.0375534934735322,0.1137334373769834,0.0073394695477031,0.0057755574139454,0.0057755574139454,0.5802470645295412,h00,1026591750036320836
p3,0.9,0.0190239949853608,0.0190239949853608,0.3559173967997598,0.0151984760531119,0.0169625848807052,0.0712954433953533,0.0298877559988359,0.0905172038821888,0.0078981075857104,0.0030735651473251,0.0030735651473251,0.5648890522191766,h00,1026591750036320836
p3,1.0,0.0116761818360766,0.0116761818360766,0.3661068463476773,0.0121764900211266,0.0135898326128645,0.0744277172956784,0.0235601617763528,0.0713536328083829,0.0083443136563764,0.0016109384664067,0.0016109384664067,0.5511211227002677,h00,1026591750036320836
p3,1.1,0.007227060296193,0.007227060296193,0.3750649291862808,0.0103754198667946,0.0115797096727619,0.077256479238622,0.0184846900751714,0.0559822042276619,0.0087021154249902,0.000841017871498,0.000841017871498,0.5389764761501068,h00,1026591750036320836
p3,1.2,0.0045373261059151,0.0045373261059151,0.3828278911136071,0.0093190091517411,0.0104006798568539,0.0797912065473158,0.0144667087804567,0.0438134608779545,0.0089930996393046,0.000440377424316,0.000440377424316,0.5283878026997724,h00,1026591750036320836
p3,1.3,0.0028976294147849,0.0028976294147849,0.3894791866819532,0.0087049566766351,0.0097153534337445,0.0820532366586011,0.0113054474247261,0.0342393550577419,0.0092335280672149,0.0002322878293143,0.0002322878293143,0.5192340485922307,h00,1026591750036320836
p1,0.7,0.0904262933782252,0.0904262933782252,0.2393652851537572,0.1224660355874134,0.2727137181367865,0.0475728915434135,0.0237330786013483,0.0543703255230888,0.0087251462028128,0.0103476498284844,0.0103476498284844,0.7043366771000164,h00,103568543989312214
p1,0.8,0.0669185729357998,0.0669185729357998,0.2571675473947479,0.1143057857642806,0.2545420507065694,0.052642490308124,0.0161749071885251,0.0370552419228031,0.0094412010018973,0.0060097448283134,0.0060097448283134,0.6807487612952307,h00,103568543989312214
p1,0.9,0.0499694434104224,0.0499694434104224,0.2740683481957844,0.1066920710797,0.2375874360617393,0.0568502949373285,0.0109343398887258,0.0250495786541718,0.0101710369302275,0.0034185115764759,0.0034185115764759,0.6589103199366595,h00,103568543989312214
p1,1.0,0.038086992481304,0.038086992481304,0.2898018935681255,0.1000739398371441,0.2228498382484552,0.060256760790484,0.0074002114076508,0.0169532115884363,0.0108882193873851,0.0019316175576051,0.0019316175576051,0.6390531262540053,h00,103568543989312214
p1,1.1,0.0297718182753997,0.0297718182753997,0.3042536876962263,0.0944710800083869,0.2103730994631209,0.0629807205659758,0.005036473668373,0.011538103313,0.0115726590514426,0.0010942722367214,0.0010942722367214,0.6211929326863552,h00,103568543989312214
p1,1.2,0.0238672756805041,0.0238672756805041,0.3174042978423747,0.0897323063022675,0.199820552460142,0.0651516909012286,0.0034521735003631,0.0079086156553773,0.0122118112037606,0.000625319198482,0.000625319198482,0.605232200052636,h00,103568543989312214
p1,1.3,0.0195730611317944,0.0195730611317944,0.329292414634012,0.0856764148053144,0.1907886829692419,0.0668870980882046,0.0023832540933184,0.0054598184683295,0.0127996708117896,0.0003620302431739,0.0003620302431739,0.5910208164659937,h00,103568543989312214
p2,0.7,0.0654694591810643,0.0654694591810643,0.3816137870223692,0.0336678795038294,0.043386442659574,0.0553755085680739,0.0163678526966267,0.046256975012206,0.0034504299105495,0.0094449064654454,0.0094449064654454,0.5595602744990071,h00,103568543989312214
p2,0.8,0.0453881880886141,0.0453881880886141,0.4019245896884124,0.0258885757672026,0.0333615667103127,0.0583957576483536,0.0103234203093658,0.0291748834829905,0.0034719169759559,0.0054716627495119,0.0054716627495119,0.5362077356872781,h00,103568543989312214
p2,0.9,0.0314680903182707,0.0314680903182707,0.4209456325569543,0.0204855552910383,0.0263989114575236,0.0611025356713926,0.0063900140480243,0.0180587353531124,0.0034916081488689,0.0031024999065376,0.0031024999065376,0.5144602236227842,h00,103568543989312214
p2,1.0,0.0221250512035678,0.0221250512035678,0.4383535428108021,0.0168626873868893,0.021730267251146,0.063493699127675,0.0039273844856936,0.0110991300682645,0.0035094293068539,0.0017445524792787,0.0017445524792787,0.4946433287546689,h00,103568543989312214
p2,1.1,0.0159042065664194,0.0159042065664194,0.4540189527038342,0.014456232423219,0.0186291654938389,0.0655909039884449,0.0024125982664774,0.0068182124922188,0.0035245308957252,0.0009807618982064,0.0009807618982064,0.4768656124119955,h00,103568543989312214
p2,1.2,0.0117331707444525,0.0117331707444525,0.4679458841165523,0.0128435798364462,0.0165510049438739,0.0674256197141726,0.00148612433133,0.0041999165885414,0.0035356926869637,0.0005539651199367,0.0005539651199367,0.4610928034823113,h00,103568543989312214
