"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.9,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,8826,0.0000000000000000000000000000000000000000000000000000000000000335,0.0000000000000000000000000000000000000000000000000000000000001,"***"
"African",0.9,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,113456,0.000000000000000000000000000000000000000000000000000000101,0.000000000000000000000000000000000000000000000000000000404,"***"
"African",0.9,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,117865,0.0000000000000000000000000000000000000000000000000000000000000000177,0.0000000000000000000000000000000000000000000000000000000000000000885,"***"
"African",0.9,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,125249,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000128,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000768,"***"
"African",0.9,"mixed","per_cM_all_log","Medium ROH","Long ROH",500,500,90162,0.0000000000000000161,0.0000000000000000322,"***"
"African",0.9,"mixed","per_cM_all_log","Medium ROH","Non-ROH",500,500,65106,0.443,0.443,"ns"
"African",0.9,"mixed","per_cM_all_log","Long ROH","Non-ROH",500,500,32529,0.0000000000000000000127,0.0000000000000000000381,"***"
"African",1,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,34110,0.00000000000000000113,0.00000000000000000339,"***"
"African",1,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,54458,0.012,0.016,"*"
"African",1,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,71217,0.008,0.016,"*"
"African",1,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125192,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000018,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,120995,0.000000000000000000000000000000000000000000000000000000000000000000000000682,0.00000000000000000000000000000000000000000000000000000000000000000000000273,"***"
"African",1,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,121891,0.00000000000000000000000000000000000000000000000000000000000000000000000000433,0.0000000000000000000000000000000000000000000000000000000000000000000000000216,"***"
"African",1,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,125034,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000464,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000278,"***"
"African",1,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,96621,0.0000000000000000000000000719,0.000000000000000000000000144,"***"
"African",1,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,30626,0.0000000000000000000000418,0.0000000000000000000000418,"***"
