"pop","tau","ROH_caller",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.8,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,33,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000155,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1137,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000111,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000222,"***"
"African",0.8,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,45519,0.000000121,0.000000121,"***"
"African",0.8,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1234,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000196,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000392,"***"
"African",0.8,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,71503,0.006,0.006,"**"
"African",0.8,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,47,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000168,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1155,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000123,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000246,"***"
"African",0.9,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,45233,0.0000000743,0.0000000743,"***"
"African",0.9,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,6,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000132,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1579,0.000000000000000000000000000000000000000000000000000000000000000000000000000000149,0.000000000000000000000000000000000000000000000000000000000000000000000000000000298,"***"
"African",0.9,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,68646,0.062,0.062,"ns"
"African",0.9,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,71,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000194,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1310,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000307,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000614,"***"
"African",1,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,45625,0.000000145,0.000000145,"***"
"African",1,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,50,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000171,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,2086,0.00000000000000000000000000000000000000000000000000000000000000000000000000000287,0.00000000000000000000000000000000000000000000000000000000000000000000000000000574,"***"
"African",1,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,66923,0.184,0.184,"ns"
"African",1,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,132,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000028,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000084,"***"
"African",1.1,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1543,0.000000000000000000000000000000000000000000000000000000000000000000000000000000121,0.000000000000000000000000000000000000000000000000000000000000000000000000000000242,"***"
"African",1.1,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,46528,0.000000636,0.000000636,"***"
"African",1.1,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,156,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000324,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000972,"***"
"African",1.1,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,2740,0.000000000000000000000000000000000000000000000000000000000000000000000000000126,0.000000000000000000000000000000000000000000000000000000000000000000000000000252,"***"
"African",1.1,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,65969,0.301,0.301,"ns"
"African",1.1,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,261,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000607,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000182,"***"
"African",1.2,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1899,0.000000000000000000000000000000000000000000000000000000000000000000000000000000966,0.00000000000000000000000000000000000000000000000000000000000000000000000000000193,"***"
"African",1.2,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,47462,0.00000272,0.00000272,"***"
"African",1.2,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,366,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000114,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000342,"***"
"African",1.2,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,3548,0.0000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000254,"***"
"African",1.2,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,65394,0.392,0.392,"ns"
"African",1.2,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,462,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000202,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000606,"***"
"African",1.3,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,2334,0.0000000000000000000000000000000000000000000000000000000000000000000000000000121,0.0000000000000000000000000000000000000000000000000000000000000000000000000000242,"***"
"African",1.3,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,48404,0.0000109,0.0000109,"***"
"African",1.3,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000989,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000297,"***"
"African",1.3,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,4465,0.00000000000000000000000000000000000000000000000000000000000000000000000221,0.00000000000000000000000000000000000000000000000000000000000000000000000442,"***"
"African",1.3,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,65194,0.427,0.427,"ns"
"African",1.3,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,120650,0.00000000000000000000000000000000000000000000000000000000000000000000000469,0.00000000000000000000000000000000000000000000000000000000000000000000000938,"***"
"European",0.7,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,14684,0.0000000000000000000000000000000000000000000000000916,0.0000000000000000000000000000000000000000000000000916,"***"
"European",0.7,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,3766,0.0000000000000000000000000000000000000000000000000000000000000000000000000435,0.00000000000000000000000000000000000000000000000000000000000000000000000013,"***"
"European",0.7,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,92085,0.0000000000000000000794,0.0000000000000000000794,"***"
"European",0.7,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,5358,0.000000000000000000000000000000000000000000000000000000000000000000000311,0.000000000000000000000000000000000000000000000000000000000000000000000622,"***"
"European",0.7,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,2857,0.000000000000000000000000000000000000000000000000000000000000000000000000000246,0.000000000000000000000000000000000000000000000000000000000000000000000000000738,"***"
"European",0.7,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.7,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,105332,0.000000000000000000000000000000000000000745,0.000000000000000000000000000000000000000745,"***"
"European",0.8,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,13574,0.000000000000000000000000000000000000000000000000000518,0.00000000000000000000000000000000000000000000000000104,"***"
"European",0.8,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,6542,0.000000000000000000000000000000000000000000000000000000000000000000196,0.000000000000000000000000000000000000000000000000000000000000000000588,"***"
"European",0.8,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,66142,0.277,0.277,"ns"
"European",0.8,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,6264,0.0000000000000000000000000000000000000000000000000000000000000000000436,0.000000000000000000000000000000000000000000000000000000000000000000131,"***"
"European",0.8,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,6900,0.00000000000000000000000000000000000000000000000000000000000000000134,0.00000000000000000000000000000000000000000000000000000000000000000268,"***"
"European",0.8,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.8,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,81459,0.00000000566,0.00000000566,"***"
"European",0.9,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,13348,0.000000000000000000000000000000000000000000000000000178,0.000000000000000000000000000000000000000000000000000356,"***"
"European",0.9,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,10335,0.0000000000000000000000000000000000000000000000000000000000732,0.00000000000000000000000000000000000000000000000000000000022,"***"
"European",0.9,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,45989,0.000000265,0.000000265,"***"
"European",0.9,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,7596,0.0000000000000000000000000000000000000000000000000000000000000000541,0.000000000000000000000000000000000000000000000000000000000000000162,"***"
"European",0.9,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,12368,0.00000000000000000000000000000000000000000000000000000164,0.00000000000000000000000000000000000000000000000000000328,"***"
"European",0.9,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",0.9,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,60477,0.506,0.506,"ns"
"European",1,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,13740,0.00000000000000000000000000000000000000000000000000113,0.00000000000000000000000000000000000000000000000000339,"***"
"European",1,"GARLIC","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"GARLIC","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,15002,0.000000000000000000000000000000000000000000000000395,0.00000000000000000000000000000000000000000000000079,"***"
"European",1,"GARLIC","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"GARLIC","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"GERMLINE","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,33595,0.000000000000000000268,0.000000000000000000268,"***"
"European",1,"GERMLINE","per_cM_nonzero_log","Short ROH","Long ROH",500,500,9277,0.000000000000000000000000000000000000000000000000000000000000341,0.00000000000000000000000000000000000000000000000000000000000102,"***"
"European",1,"GERMLINE","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"GERMLINE","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,18636,0.00000000000000000000000000000000000000000354,0.00000000000000000000000000000000000000000708,"***"
"European",1,"GERMLINE","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1,"GERMLINE","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"European",1.1,"GARLIC","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,46195,0.000000372,0.000000372,"***"
"European",1.1,"GARLIC","per_cM_nonzero_log","Short ROH","Long ROH",500,500,14701,0.000000000000000000000000000000000000000000000000099,0.000000000000000000000000000000000000000000000000297,"***"
