pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p3,1.1,0.0050455821680346425,0.0050455821680346425,0.4035937649016378,0.014095952346807402,0.019204294750418804,0.03577118606006455,0.02395523185765877,0.06213388263080244,0.008365804789622946,0.001051882931814896,0.001051882931814896,0.5522692442486747,h00,1026591750036320836
p3,1.2,0.0030056379529624947,0.0030056379529624947,0.4077823345173788,0.013635830810922005,0.018577426172918264,0.03645486928217918,0.018849972775528027,0.04889211688652582,0.00865431727875259,0.0005984432555040873,0.0005984432555040873,0.5471084789216893,h00,1026591750036320836
p3,1.3,0.0018184394404392168,0.0018184394404392168,0.4110873918227527,0.013392776283336792,0.018246289214355303,0.03701395615565299,0.014788666352560684,0.038358103351954276,0.008894317980721744,0.00034901686445416223,0.00034901686445416223,0.5430043340408724,h00,1026591750036320836
p1,0.7,0.07849273049583934,0.07880796234522022,0.1709563618608587,0.13797684841176788,0.4047930056053853,0.03380642957878282,0.02833854998300332,0.054942086701741125,0.007412837526806562,0.011821174643690669,0.011821174643690669,0.7878243710335519,h00,103568543989312214
p1,0.8,0.057836277994356804,0.058068552203169484,0.18454981685798094,0.1363472459819703,0.4000121190067076,0.037545527116696356,0.019328612556572162,0.03747384067090521,0.008010127522774073,0.007152365740262283,0.007152365740262283,0.7698945285025486,h00,103568543989312214
p1,0.9,0.04272852579489916,0.04290012630009955,0.19749837730512831,0.13376772093527659,0.39244437333991744,0.040648363790454244,0.013098236695080555,0.02539454053127863,0.008625696854548967,0.0043169203055929434,0.0043169203055929434,0.7532275620498685,h00,103568543989312214
p1,1.0,0.03199445396245104,0.03212294574543277,0.20950565794475448,0.130942112013654,0.3841546729937001,0.04317156069943245,0.008898722426460823,0.017252625112526086,0.009235567647770575,0.0026550468442974695,0.0026550468442974695,0.7380872137080425,h00,103568543989312214
p1,1.1,0.024405653044788055,0.024503667715650657,0.22044073148380444,0.12818460512607868,0.37606476868114475,0.045205553301555915,0.006085784269306507,0.011798969501716697,0.00982108599391424,0.0016920595679049612,0.0016920595679049612,0.7245326292207254,h00,103568543989312214
p1,1.2,0.01899113817716532,0.019067407808398915,0.23028394788302028,0.12558396735789443,0.36843508304335915,0.04684424737769206,0.004194433306656273,0.00813206457412951,0.010370301996723437,0.0011308175927293438,0.0011308175927293438,0.7125015027425643,h00,103568543989312214
p1,1.3,0.015063655056100812,0.01512415166275182,0.23908136366470842,0.12313516011429014,0.36125083397768565,0.04817118779050624,0.002912637999900011,0.00564695122429594,0.010877187522318983,0.0007974031527813246,0.0007974031527813246,0.7018702610224664,h00,103568543989312214
