hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1640035823564240350,p2,0,0,500,0,0,67,433,0,377,87,36,0,0,0,500,0
h00,1640035823564240350,p3,0,0,500,0,0,34,466,0,355,123,22,0,0,0,500,0
h00,1667204476426382146,p1,0,2,498,0,12,283,205,0,386,64,50,0,0,0,500,0
h00,1667204476426382146,p2,0,0,500,0,0,79,421,0,375,92,33,0,0,0,500,0
h00,1667204476426382146,p3,0,0,500,0,0,46,454,0,366,104,30,0,0,0,500,0
h00,1675567405057576839,p1,0,0,500,0,18,250,232,0,394,66,40,0,0,0,500,0
h00,1675567405057576839,p2,0,0,500,0,0,66,434,0,356,97,47,0,0,0,500,0
h00,1675567405057576839,p3,0,0,500,0,0,46,454,0,333,142,25,0,0,0,500,0
h00,1683235848236138391,p1,0,1,499,0,15,253,232,0,399,67,34,0,0,0,500,0
h00,1683235848236138391,p2,0,0,500,0,0,66,434,0,372,84,44,0,0,0,500,0
h00,1683235848236138391,p3,0,0,500,0,0,35,465,0,383,90,27,0,0,0,500,0
h00,1686481830113721127,p1,0,3,497,0,17,263,220,0,354,74,72,0,0,0,500,0
h00,1686481830113721127,p2,0,0,500,0,0,92,408,0,378,76,46,0,0,0,500,0
h00,1686481830113721127,p3,0,0,500,0,0,52,448,0,331,139,30,0,0,0,500,0
h00,1697761245837672091,p1,0,1,499,0,14,251,235,0,358,85,57,0,0,0,500,0
h00,1697761245837672091,p2,0,0,500,0,0,85,415,0,382,84,34,0,0,0,500,0
h00,1697761245837672091,p3,0,0,500,0,0,28,472,0,372,68,60,0,0,0,500,0
h00,1741910082241347924,p1,0,1,499,0,11,249,240,0,361,74,65,0,0,0,500,0
h00,1741910082241347924,p2,0,0,500,0,0,95,405,0,385,83,32,0,0,0,500,0
h00,1741910082241347924,p3,0,0,500,0,0,66,434,0,375,95,30,0,0,0,500,0
h00,1758916382348960481,p1,0,3,497,0,15,255,230,0,360,78,62,0,0,0,500,0
h00,1758916382348960481,p2,0,0,500,0,0,125,375,0,379,98,23,0,0,0,500,0
h00,1758916382348960481,p3,0,1,499,0,0,70,430,0,349,108,43,0,0,0,500,0
h00,1760919415129066732,p1,0,5,495,0,16,228,256,0,387,55,58,0,0,0,500,0
h00,1760919415129066732,p2,0,0,500,0,0,104,396,0,306,149,45,0,0,0,500,0
h00,1760919415129066732,p3,0,0,500,0,0,33,467,0,354,94,52,0,0,0,500,0
h00,1776755804422427172,p1,0,2,498,0,12,262,226,0,381,56,63,0,0,0,500,0
h00,1776755804422427172,p2,0,0,500,0,0,98,402,0,347,112,41,0,0,0,500,0
h00,1776755804422427172,p3,0,0,500,0,0,48,452,0,303,162,35,0,0,0,500,0
h00,1788482744701747849,p1,0,2,498,0,16,268,216,0,380,67,53,0,0,0,500,0
h00,1788482744701747849,p2,0,0,500,0,0,101,399,0,339,132,29,0,0,0,500,0
h00,1788482744701747849,p3,0,0,500,0,0,66,434,0,343,127,30,0,0,0,500,0
h00,1789806920600214380,p1,0,0,500,0,17,257,226,0,386,59,55,0,0,0,500,0
h00,1789806920600214380,p2,0,0,500,0,0,92,408,0,364,95,41,0,0,0,500,0
h00,1789806920600214380,p3,0,0,500,0,0,57,443,0,349,112,39,0,0,0,500,0
h00,1816372852695257818,p1,0,0,500,0,17,246,237,0,381,66,53,0,0,0,500,0
h00,1816372852695257818,p2,0,0,500,0,1,96,403,0,373,86,41,0,0,0,500,0
h00,1816372852695257818,p3,0,0,500,0,0,35,465,0,332,109,59,0,0,0,500,0
h00,1818297040266038161,p1,0,0,500,0,17,242,241,0,363,73,64,0,0,0,500,0
