hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1667204476426382146,p2,0,0,500,0,0,3,497,0,375,10,115,0,0,0,500,0
h00,1667204476426382146,p3,0,0,500,0,0,0,500,0,366,19,115,0,0,0,500,0
h00,1675567405057576839,p1,0,0,500,0,18,50,432,0,394,14,92,0,0,0,500,0
h00,1675567405057576839,p2,0,0,500,0,0,1,499,0,356,6,138,0,0,0,500,0
h00,1675567405057576839,p3,0,0,500,0,0,0,500,0,333,10,157,0,0,0,500,0
h00,1683235848236138391,p1,0,0,500,0,15,49,436,0,399,31,70,0,0,0,500,0
h00,1683235848236138391,p2,0,0,500,0,0,2,498,0,372,47,81,0,0,0,500,0
h00,1683235848236138391,p3,0,0,500,0,0,0,500,0,383,52,65,0,0,0,500,0
h00,1686481830113721127,p1,0,0,500,0,17,49,434,0,354,9,137,0,0,0,500,0
h00,1686481830113721127,p2,0,0,500,0,0,1,499,0,378,10,112,0,0,0,500,0
h00,1686481830113721127,p3,0,0,500,0,0,0,500,0,331,5,164,0,0,0,500,0
h00,1697761245837672091,p1,0,0,500,0,14,46,440,0,358,7,135,0,0,0,500,0
h00,1697761245837672091,p2,0,0,500,0,0,0,500,0,382,10,108,0,0,0,500,0
h00,1697761245837672091,p3,0,0,500,0,0,0,500,0,372,7,121,0,0,0,500,0
h00,1741910082241347924,p1,0,0,500,0,11,43,446,0,361,19,120,0,0,0,500,0
h00,1741910082241347924,p2,0,0,500,0,0,0,500,0,385,17,98,0,0,0,500,0
h00,1741910082241347924,p3,0,0,500,0,0,0,500,0,375,31,94,0,0,0,500,0
h00,1758916382348960481,p1,0,0,500,0,15,48,437,0,360,20,120,0,0,0,500,0
h00,1758916382348960481,p2,0,0,500,0,0,1,499,0,379,16,105,0,0,0,500,0
h00,1758916382348960481,p3,0,0,500,0,0,1,499,0,349,11,140,0,0,0,500,0
h00,1760919415129066732,p1,0,0,500,0,16,34,450,0,387,24,89,0,0,0,500,0
h00,1760919415129066732,p2,0,0,500,0,0,0,500,0,306,116,78,0,0,0,500,0
h00,1760919415129066732,p3,0,0,500,0,0,0,500,0,354,62,84,0,0,0,500,0
h00,1776755804422427172,p1,0,0,500,0,12,56,432,0,381,26,93,0,0,0,500,0
h00,1776755804422427172,p2,0,0,500,0,0,0,500,0,347,53,100,0,0,0,500,0
h00,1776755804422427172,p3,0,0,500,0,0,0,500,0,303,60,137,0,0,0,500,0
h00,1788482744701747849,p1,0,0,500,0,16,44,440,0,380,16,104,0,0,0,500,0
h00,1788482744701747849,p2,0,0,500,0,0,1,499,0,339,45,116,0,0,0,500,0
